# energy    M^2/spin
    0.0250   0.000000
    0.0300   0.000000
    0.0350   0.000000
    0.0475   0.000000
    0.0625   0.000000
    0.0675   0.000000
    0.0750   0.000000
    0.0800   0.000000
    0.0900   0.000000
    0.1025   0.000000
    0.1100   0.000000
    0.1175   0.000000
    0.1175   0.000000
    0.1200   0.000000
    0.1200   0.000000
    0.1300   0.000000
    0.1350   0.000000
    0.1425   0.000000
    0.1450   0.000000
    0.1550   0.000000
    0.1675   0.000000
    0.1675   0.000000
    0.1750   0.000000
    0.1775   0.000000
    0.1850   0.000000
    0.1925   0.000000
    0.2000   0.000000
    0.2025   0.000000
    0.2050   0.000000
    0.2125   0.000000
    0.2225   0.000000
    0.2250   0.000000
    0.2325   0.000000
    0.2475   0.000000
    0.2625   0.000000
    0.2675   0.000000
    0.2725   0.000000
    0.2800   0.000000
    0.2825   0.000000
    0.2825   0.000000
    0.2900   0.000000
    0.3000   0.000000
    0.3075   0.000000
    0.3150   0.000000
    0.3200   0.000000
    0.3250   0.000000
    0.3275   0.000000
    0.3300   0.000000
    0.3350   0.000000
    0.3400   0.000000
    0.3425   0.000000
    0.3450   0.000000
    0.3550   0.000000
    0.3600   0.000000
    0.3675   0.000000
    0.3700   0.000000
    0.3700   0.000000
    0.3725   0.000000
    0.3825   0.000000
    0.3875   0.000000
    0.3925   0.000000
    0.3950   0.000000
    0.4000   0.000000
    0.4025   0.000000
    0.4100   0.000000
    0.4100   0.000000
    0.4150   0.000000
    0.4225   0.000000
    0.4225   0.000000
    0.4225   0.000000
    0.4275   0.000000
    0.4375   0.000000
    0.4400   0.000000
    0.4450   0.000000
    0.4500   0.000000
    0.4575   0.000000
    0.4600   0.000000
    0.4700   0.000000
    0.4775   0.000000
    0.4800   0.000000
    0.4875   0.000000
    0.4925   0.000000
    0.5000   0.000000
    0.5075   0.000000
    0.5075   0.000000
    0.5100   0.000000
    0.5100   0.000000
    0.5150   0.000000
    0.5150   0.000000
    0.5150   0.000000
    0.5150   0.000000
    0.5175   0.000000
    0.5175   0.000000
    0.5225   0.000000
    0.5275   0.000000
    0.5325   0.000000
    0.5350   0.000000
    0.5425   0.000000
    0.5450   0.000000
    0.5500   0.000000
